CODE,en
NAME,English
RPR_NAME,Realistic Population 2
RPR_DESC,More realistic building populations (based on building size) and utility needs.
RPR_REALPOP,Realistic Population
RPR_INF_VIS,visitors
RPR_PCK_DEF, (default)
RPR_PCK_NAM,Calculations
RPR_PCK_VAN_NAM,Vanilla (base game)
RPR_PCK_VAN_DES,Calculations as used by the base (unmodded) game.
RPR_PCK_LEG_NAM,Legacy WG calculations
RPR_PCK_LEG_DES,Old calculations used by versions 1.x of this mod and Whitefang Greytail's original Realistic Population and Consumption mod.
RPR_PCK_RLS_NAM,Single dwellings
RPR_PCK_RLS_DES,One household per building.
RPR_PCK_RLD_NAM,Duplexes
RPR_PCK_RLD_DES,Two households per building.
RPR_PCK_RUH_NAM,US highrise
RPR_PCK_RUH_DES,Average US apartments and condos.
RPR_PCK_REM_NAM,European apartments (modern)
RPR_PCK_REM_DES,European mid-rise and wall-to-wall apartments (medium density; modern buildings).
RPR_PCK_REO_NAM,European apartments (older)
RPR_PCK_REO_DES,European mid-rise and wall-to-wall apartments (high density; older buildings).
RPR_PCK_CUS_NAM,US retail
RPR_PCK_CUS_DES,General commercial retail density typical of USA.
RPR_PCK_CUK_NAM,UK retail
RPR_PCK_CUK_DES,General commercial retail density typical of UK.
RPR_PCK_CRW_NAM,Superstores
RPR_PCK_CRW_DES,Non-food superstores and retail warehouses.
RPR_PCK_THT_NAM,Hotels
RPR_PCK_THT_DES,Hotels and motels.
RPR_PCK_LFD_NAM,Food service
RPR_PCK_LFD_DES,Restaurants and cafes.
RPR_PCK_LEN_NAM,Entertainment
RPR_PCK_LEN_DES,"Amusement, fitness, and entertainment centers."
RPR_PCK_LCN_NAM,Cinemas
RPR_PCK_LCN_DES,Cinemas and theaters.
RPR_PCK_ILG_NAM,Light industry
RPR_PCK_ILG_DES,Light industries and business parks.
RPR_PCK_IMN_NAM,Manufacturing
RPR_PCK_IMN_DES,Industrial manufacturing.
RPR_PCK_IWL_NAM,Small warehouses
RPR_PCK_IWL_DES,Warehouses for local distribution - lots of storage and low employment density.
RPR_PCK_IWN_NAM,Large warehouses
RPR_PCK_IWN_DES,Warehouses for national distribution - lots of storage and very low employment density.
RPR_PCK_OCP_NAM,Corporate offices
RPR_PCK_OCP_DES,"Corporate, professional services, and public sector offices."
RPR_PCK_OFN_NAM,Finance offices
RPR_PCK_OFN_DES,Financial offices; higher density than typical corporate offices
RPR_PCK_OCS_NAM,Call centers
RPR_PCK_OCS_DES,Call centers and other tightly-packed offices
RPR_PCK_ODT_NAM,Datacenters
RPR_PCK_ODT_DES,Datacenters with co-location facilities
RPR_PCK_SSB_NAM,Surburban school
RPR_PCK_SSB_DES,Suburban schools
RPR_PCK_SML_NAM,MN low
RPR_PCK_SML_DES,Minnesota Dept of Education guide - lowest density
RPR_PCK_SMM_NAM,MN medium
RPR_PCK_SMM_DES,Minnesota Dept of Education guide - medium density
